pharmacy_id,name,brand,address,latitude,longitude,source
ChIJA3uISvC50TERD9C_RoFTzlc,Chem City Pharmacy (Jalan Meriam),Other,"47, Jalan Meriam, Pekan Muar, 84000 Muar, Johor Darul Ta'zim, Malaysia",2.0475151,102.5687889,google_places
ChIJwaOJnfWx0TERjMwEsjSh7H4,Chem City Pharmacy (Parit Jawa),Other,"Plot 1 & 2, Lot 1479 GM33, Parit Jawa, 84150 Parit Jawa, Johor, Malaysia",1.9541187,102.6479224,google_places
ChIJBe_rPlm40TERNfaUdhgEM6Y,Chemcity Pharmacy Pusat Perniagaan Mas Jaya,Other,"60, Jalan Perniagaan Jaya, Pusat Perniagaan Mas Jaya, 84000 Muar, Johor Darul Ta'zim, Malaysia",2.0685907,102.5796964,google_places
ChIJFQ_WP6650TERaRREorNH7BA,CITY CHEM PHARMACY SDN BHD,Other,"NO.69,TINGKAT BAWAH, Jalan Pesta, Taman Tun Dr Ismail, 84000 Muar, Johor Darul Ta'zim, Malaysia",2.0493883000000004,102.5859286,google_places
ChIJVwOz1_NB2jERlKopnmEvYJE,CSM PHARMACY TAMAN SCIENTEX,Other,"32A, Jln Belatuk 3, Taman Scientex, 81700 Pasir Gudang, Johor Darul Ta'zim, Malaysia",1.5002689,103.9155076,google_places
ChIJbTmuB85v0DEREZfm38hd7QA,Divine Pharmacy Sdn. Bhd,Other,"NO 60 ,GROUND FLOOR, 86000 Kluang, Johor Darul Ta'zim, Malaysia",1.9955231,103.2956367,google_places
ChIJM8j4bf942jERf6gVRUHfPB8,DWP Pharma,Other,"39A, Jalan Seruling 2, Taman Sri Kulai Baru 2, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6678192,103.5863227,google_places
ChIJMxRpVGVN2jERNB4lT-7tPdc,Farmasi Al-Arif Bandar Penawar,Other,"97, Jln Jelutong 1, Taman Desaru Utama, 81930 Bandar Penawar, Johor, Malaysia",1.5733952,104.2150855,google_places
ChIJ18yXDfmB2jERWjDy4jWPPE4,Farmasi Al-Arif Bandar Tenggara,Other,"No. 68, Jalan Anggerik 3/1, Taman Anggerik Tenggara, 81440 Bandar Tenggara, Johor Darul Ta'zim, Malaysia",1.8437724,103.6213582,google_places
ChIJcweSe_Vh2jERRIkHcyW_aKg,Farmasi Al-Arif Kota Tinggi,Other,"30, Jln Langsat 3, Taman Kota Jaya, 81900 Kota Tinggi, Johor Darul Ta'zim, Malaysia",1.735285,103.8899951,google_places
ChIJNQK20jFh2jERfeF63IuXNAw,Farmasi APM,Other,"No 38-01, Persiaran Bayu Damai 2/2, Taman Bayu Damai, 81620 Pengerang, Johor Darul Ta'zim, Malaysia",1.3873967,104.2713856,google_places
ChIJpc_Mys5W0DERUn31QIUdtCE,Farmasi Baitar Batu Pahat,Other,"146, Jalan Rugayah, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8554632,102.9262003,google_places
ChIJM9pjAqlv0DERrZhdhhRbdGg,Farmasi Baitar Seri Impian [OLIVE HOUSE MALAYSIA @ KLUANG],Other,"24, Jln Seri Impian 1/1, Taman Seri Impian, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0044914,103.3566047,google_places
ChIJabFyE8VW0DERGIdAscVd1HM,Farmasi Bajrai,Other,"No. 48-6, Jalan Sultanah, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8513927,102.9280148,google_places
ChIJAQAAQFgtzjERh0v-oWfjXw0,Farmasi Barakah,Other,"No. 30, Jalan Bistari 1/1, Taman Segamat Jaya, Taman Yayasan, Johor, Taman Yayasan, 85000 Buloh Kasap, Johor, Malaysia",2.5467111,102.7894539,google_places
ChIJ__f2CCIzzjER1r2iav0R8f4,FARMASI BATU ANAM,Other,"3, Jalan Muafakat, Taman Ksm, 85100 Batu Anam, Johor Darul Ta'zim, Malaysia",2.5649936,102.7226348,google_places
ChIJXfM3D3bYzzERV7juS_8D_YM,Farmasi Berseri,Other,"106A, Jln Segamat, Kampung Paya Merah, 85300 Labis, Johor Darul Ta'zim, Malaysia",2.3979292,103.0188158,google_places
ChIJcbCcpI4n0DERNwzDCQKISZA,Farmasi Bintang,Other,"151, Jalan Segamat, Taman Labis, Labis, Taman Sri Bayu, 85300 Labis, Johor, Malaysia",2.4001591,103.0177142,google_places
ChIJ-TSRZO3L0TERHUhFZrjGNH4,FARMASI BIRUNI Pagoh Jaya,Other,"43, Jln Pagoh Jaya 1, Pusat Perniagaan Pagoh Jaya, 84600 Muar, Johor Darul Ta'zim, Malaysia",2.1309859,102.7152074,google_places
ChIJFQfYr-RZ0DERa3_azwc1_fM,FARMASI BIRUNI Taman Universiti Batu Pahat,Other,"No. 12, Jalan Universiti 2, Bandar Universiti, 86400 Parit Raja, Johor Darul Ta'zim, Malaysia",1.8507182,103.0749339,google_places
ChIJ0bJR4ANR0DERKBh6XVC9XqE,Farmasi BP 金宝药剂所,Other,"66, Jalan Penjaja, Pusat Komersial Bentara, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8583785,102.9298074,google_places
ChIJmzeMz19v2jERKwHcdzVjhPc,FARMASI Careplus Pharmacy,Other,"47, Jalan Ledang 25, Taman Bukit Tiram, 81800 Ulu Tiram, Johor Darul Ta'zim, Malaysia",1.6023892,103.8123864,google_places
ChIJTchERjk70DERtq1ajZwtiFU,Farmasi Chaah,Other,"25, Jalan Yong Peng Taman Damai Jaya 2, Chaah, Taman Sri Chaah, 85400 Segamat, Johor Darul Ta'zim, Malaysia",2.243162,103.0398033,google_places
ChIJZ5mJXHrG0TERRwxPG1jk4aY,Farmasi D'Faamosaa,Other,"84400 Sungai Mati, Johor, Malaysia",2.1635104,102.5855294,google_places
ChIJP1kWoFV42jERwHZ0dijH_ik,Farmasi Dunia Sihat Sdn Bhd,Other,"32, Lorong Ismail, Taman Kulai, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.660594,103.603341,google_places
ChIJMVM9JqfTzzERZKaZsfcQajI,Farmasi Eco Cahaya Sdn Bhd,Other,"55, Jalan Putra 2/23, Bandar Putra, 85000 Segamat, Johor Darul Ta'zim, Malaysia",2.4988725,102.8535586,google_places
ChIJiZ_dNW-C0DERfPfxFIS-lxU,Farmasi Eu,Other,"10, Jalan Sawit, Taman Sawit Indah, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6781182,103.5266604,google_places
ChIJMb9dd8AL2jERSwMfbGk9Jfg,Farmasi Friska Medini,Other,"S-03-01, Pusat Komersil Visi Medini, 2, Persiaran Medini, 79250 Iskandar Puteri, Johor Darul Ta'zim, Malaysia",1.4171665999999998,103.6225162,google_places
ChIJIzKG3XCY0DERjPgGI6cWU3Q,Farmasi Gamma,Other,"745, Tingkat Bawah, Wisma Koperasi, Jalan Taib,, Kampung Atap, 82000 Pontian, Johor Darul Ta'zim, Malaysia",1.4856512,103.3902023,google_places
ChIJfW-ACBrI0TERj6rbfTHm-ec,Farmasi Gemilang,Other,"37, Jln Panchor, Taman Bintang Emas, 84300 Bukit Pasir, Johor Darul Ta'zim, Malaysia",2.0984391,102.637964,google_places
ChIJo0MiDQBN2jERv12t3FOufr0,FARMASI IDAMAN DESARU,Other,"No 120-B, lot Komersil, Taman Desaru Utama, Jalan Kempas 2, 81930 Bandar Penawar, Johor Darul Ta'zim, Malaysia",1.5737217,104.2061336,google_places
