pharmacy_id,name,address,latitude,longitude,source
ChIJ2TZHa_uN0DERuu9MrtFrhe4,Kedai Ubat Thye Ho Thong 太和堂中西药行,"9, Jalan Jaafar, Benut, 82200 Benut, Johor Darul Ta'zim, Malaysia",1.6394378,103.2591489,google_places
ChIJJ2Y7ZZLTzzERQQS5ir-zHRk,Kedai Ubat Tiong Yew,"Kampung Abdullah, 85000 Segamat District, Johor, Malaysia",2.5044517,102.82804910000002,google_places
ChIJ4aWaK4Sf0DERYroMkmj1u2g,Kedai Ubat Weng Foh Chan,"Lorong B-1, Pekan Nenas, 81500 Pekan Nanas, Johor Darul Ta'zim, Malaysia",1.5086716,103.5108965,google_places
ChIJN6rDpk1t0DERbbWULch4HeM,Kedai Ubat Yie Hoe,"26, Jalan Intan 2/2, Taman Intan, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0182041,103.3020554,google_places
ChIJvT12yDEz2jER7x-jdQVRC2c,Kedai Ubat Yong Jiang,"43, Jalan Pasar, Kampung Sungai Rengit, 81620 Pengerang, Johor Darul Ta'zim, Malaysia",1.350194,104.2229764,google_places
ChIJR6jouyp02jERdPRsvwOuPxU,Kedai Ubat Yue Thye,"43, Jalan Pulai Harmoni 1, Kangkar Pulai, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.552813,103.590988,google_places
ChIJj62GrNJz2jERazo-91pUVe8,Kedai ubat dan perniagaan Ye Shen,"45, Jalan Seri Impian 1, Taman Impian Emas, 81300 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5438405,103.6825316,google_places
ChIJtUhrfYLTzzERrrpwknVKAvw,Kedat Ubat Heng Lin Choon,"Taman Bukit Baru, 85000 Bukit Siput, Johor, Malaysia",2.4832319,102.8520946,google_places
ChIJaxK1dGFO0DERsyMIap-pphg,Kinabalu Pharmacy (BP) Sdn Bhd Kampung Simpang Lima,"10, Jln Muar, Parit Sulong, 83500 Parit Sulong, Johor Darul Ta'zim, Malaysia",1.9773801,102.8816967,google_places
ChIJr7BZOxwL2jERVmkJu-lM_ps,LOVING PHARMACY GELANG PATAH,"No. 70-01 Ground Floor, Jalan Nusaria 11/4, Taman Nusantara, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",1.4583088,103.5846274,google_places
ChIJ1XluVXhz2jERYLARdqO1C54,LOVING PHARMACY SETIA TROPIKA,"2G, Jalan Setia Tropika 1/1, TAMAN SETIA TROPIKA, 81200 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5449509,103.7110143,google_places
ChIJRUoKEadz2jERy-QgYc8MaNU,LOVING PHARMACY TAMAN SUTERA,"10, Jalan Sutera Tanjung 8/3, Taman Sutera Utama, 81300 Skudai, Johor Darul Ta'zim, Malaysia",1.5170329,103.6672239,google_places
ChIJ5WL-aJZX0DERtZl6sjUBHJA,Life Care Pharmacy,"97-3A, Jln Rahmat, Kampung Pegawai, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8497489,102.9288483,google_places
ChIJRzUPeylR0DER1NJkvZfPnd8,Life Care Pharmacy,"4&5, Jalan Kundang 3a, Taman Bukit Pasir, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8665131,102.9401591,google_places
ChIJ_6z-qLhF0DER9TSfSbPfJOA,Life Care Pharmacy (Yong Peng),"204, Jln Besar, Taman Sembrong Baru, 83700 Yong Peng, Johor Darul Ta'zim, Malaysia",2.0110312,103.0663229,google_places
ChIJI8-tSWVR0DEROvENK4pOFgM,Life Care Pharmacy Dgarden,"17, Jalan Desa Botani 2, Taman Desa Botani, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8682292,102.9330432,google_places
ChIJXRXHb-l52jERtoSw6R4T1FI,Life Pharmacy,"344, Jalan Kenanga 29/9, Bandar Indahpura, 81000 Kulai, Johor Darul Ta'zim, Malaysia",1.6425636,103.6168493,google_places
ChIJ5fZ3afNH0DERBRrG8K5z_oo,"Love Life Pharmacy (HQ), Yong Peng","11, Jln Komersial 1, Taman Komersial, 83700 Yong Peng, Johor Darul Ta'zim, Malaysia",2.0146978,103.0679175,google_places
ChIJ6wCEa_FF0DERz5CmV2Zs8kM,"Love Life Pharmacy, Yong Peng","23, Jln Meng Seng, Taman Selatan, 83700 Yong Peng, Johor Darul Ta'zim, Malaysia",2.0119729,103.0617599,google_places
ChIJyXJ3h4Bt0DERG-WwmNoQGL4,Loving Pharmacy Kluang,"1G, jalan ciku, Jln Haji Manan, Kampung Masjid Lama, 86000 Kluang, Johor Darul Ta'zim, Malaysia",2.0380444,103.3184541,google_places
ChIJqdE0Bpxs2jERAMXHk7c7VI0,Loving Pharmacy Permas,"73, Jalan Permas 10/1, Bandar Baru Permas Jaya, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.50092,103.816013,google_places
ChIJZceqeUtR0DER5hnzybrBXi8,MEDIWELL PHARMACY TAMAN PUTERI JAYA,"4, Jalan Puteri Jaya 1, Taman Puteri Jaya, 83000 Batu Pahat, Johor Darul Ta'zim, Malaysia",1.8774793,102.95135,google_places
ChIJoTowvsVq2jER5i1suEPFwho,MH pharmacy (Moh Heng Pharmacy),"35, Jalan Pasar, Kampung Sepakat, 81750 Masai, Johor Darul Ta'zim, Malaysia",1.487066,103.8837329,google_places
ChIJ4RpQCyxv2jER3r_LUjM_sX4,MJ Pharmacare Taman Mount Austin (Pharmacy),"41, Jalan Austin Heights 3/1, Taman Mount Austin, 81100 Johor Bahru, Johor Darul Ta'zim, Malaysia",1.5575205,103.7801973,google_places
ChIJod9Vb3K50TERiS-ns_J_ZWw,Med Ville Pharmacy Sdn Bhd (Chem City Jln Abd Rahman),"16, Ground Floor, Jalan Perdana 15, Jln Abdul Rahman, Taman Junid Perdana, 84000 Muar, Johor, Malaysia",2.0332175,102.5656754,google_places
